"TYPE";"CODE";"NAME";"STATUS";"IS_DEFAULT";"ENDPOINT"
COMMUNE;"01300";Xã Vĩnh Quang;0;"0";
COMMUNE;"01303";Xã Quảng Lâm;0;"0";
COMMUNE;"01304";Xã Thạch Lâm;0;"0";
COMMUNE;"01309";Xã Vĩnh Phong;0;"0";
COMMUNE;"01312";Xã Mông Ân;0;"0";
COMMUNE;"01315";Xã Thái Học;0;"0";
COMMUNE;"01316";Xã Thái Sơn;0;"0";
COMMUNE;"01318";Xã Yên Thổ;0;"0";
COMMUNE;"01321";Thị trấn Bảo Lạc;0;"0";
COMMUNE;"01324";Xã Cốc Pàng;0;"0";
COMMUNE;"01327";Xã Thượng Hà;0;"0";
COMMUNE;"01330";Xã Cô Ba;0;"0";
COMMUNE;"01333";Xã Bảo Toàn;0;"0";
COMMUNE;"01336";Xã Khánh Xuân;0;"0";
COMMUNE;"01339";Xã Xuân Trường;0;"0";
COMMUNE;"01342";Xã Hồng Trị;0;"0";
COMMUNE;"01343";Xã Kim Cúc;0;"0";
COMMUNE;"01345";Xã Phan Thanh;0;"0";
COMMUNE;"01348";Xã Hồng An;0;"0";
COMMUNE;"01351";Xã Hưng Đạo;0;"0";
COMMUNE;"01352";Xã Hưng Thịnh;0;"0";
COMMUNE;"01354";Xã Huy Giáp;0;"0";
COMMUNE;"01357";Xã Đình Phùng;0;"0";
COMMUNE;"01359";Xã Sơn Lập;0;"0";
COMMUNE;"01360";Xã Sơn Lộ;0;"0";
COMMUNE;"01363";Thị trấn Thông Nông;0;"0";
COMMUNE;"01366";Xã Cần Yên;0;"0";
COMMUNE;"01367";Xã Cần Nông;0;"0";
COMMUNE;"01372";Xã Lương Thông;0;"0";
COMMUNE;"01375";Xã Đa Thông;0;"0";
COMMUNE;"01378";Xã Ngọc Động;0;"0";
COMMUNE;"01381";Xã Yên Sơn;0;"0";
COMMUNE;"01384";Xã Lương Can;0;"0";
COMMUNE;"01387";Xã Thanh Long;0;"0";
COMMUNE;"01392";Thị trấn Xuân Hòa;0;"0";
